id,created_at,updated_at,snapshot,instrument,key,name,symbol,market,last_price,prev_close,change_pct,priced_at,source,status
1,2026-03-07 16:59:45.207883+00:00,2026-03-07 16:59:45.207890+00:00,1,1,INDEX_50,上证50,000016,CN,3.5400,3.5500,-0.28,2026-03-07 16:57:53.316912+00:00,akshare.stock_zh_index_daily.fallback_close,ok
2,2026-03-07 16:59:45.208622+00:00,2026-03-07 16:59:45.208627+00:00,1,2,INDEX_300,沪深300,000300,CN,4660.4390,4647.6920,0.27,2026-03-07 16:57:54.381093+00:00,akshare.stock_zh_index_daily.fallback_close,ok
3,2026-03-07 16:59:45.209198+00:00,2026-03-07 16:59:45.209205+00:00,1,3,INDEX_1000,中证1000,000852,CN,8.7000,9.0800,-4.19,2026-03-07 16:57:55.193272+00:00,akshare.stock_zh_index_daily.fallback_close,ok
4,2026-03-07 16:59:45.209738+00:00,2026-03-07 16:59:45.209742+00:00,1,4,CHINEXT,创业板指,399006,CN,3229.3020,3216.9390,0.38,2026-03-07 16:57:56.010222+00:00,akshare.stock_zh_index_daily.fallback_close,ok
5,2026-03-07 16:59:45.210506+00:00,2026-03-07 16:59:45.210544+00:00,1,5,STAR_50,科创50,000688,CN,34.5700,35.0800,-1.45,2026-03-07 16:57:56.819546+00:00,akshare.stock_zh_index_daily.fallback_close,ok
6,2026-03-07 16:59:45.211396+00:00,2026-03-07 16:59:45.211404+00:00,1,6,HSTECH,恒生科技指数,HSTECH,HK,4947.5000,4796.3301,3.15,2026-03-07 16:57:58.870092+00:00,yfinance.fast_info,ok
7,2026-03-07 16:59:45.212294+00:00,2026-03-07 16:59:45.212300+00:00,1,7,BSE_50,北证50,899050,CN,1427.3530,1427.2250,0.01,2026-03-07 16:57:59.639634+00:00,akshare.stock_zh_index_daily.fallback_close,ok
8,2026-03-07 16:59:45.212958+00:00,2026-03-07 16:59:45.212963+00:00,1,8,CSI_2000,中证2000,932000,CN,3521.9500,3475.2800,1.34,2026-03-07 16:58:01.165702+00:00,akshare.stock_zh_index_hist_csindex.fallback_close,ok
9,2026-03-07 16:59:45.213659+00:00,2026-03-07 16:59:45.213664+00:00,1,9,USDCNH,离岸人民币汇率,USDCNH,FX,6.9031,6.9145,-0.16,2026-03-07 16:58:01.558246+00:00,yfinance.fast_info,ok
10,2026-03-07 16:59:45.214214+00:00,2026-03-07 16:59:45.214219+00:00,1,24,HKDCNH,港币兑人民币,HKDCNH,FX,0.8820,0.8808,0.14,2026-03-07 16:58:01.832552+00:00,yfinance.fast_info,ok
11,2026-03-07 16:59:45.214764+00:00,2026-03-07 16:59:45.214768+00:00,1,10,CN10Y,中国国债十年期,CN10Y,BOND,1.7810,1.7779,0.17,2026-03-07 16:58:04.090731+00:00,akshare.bond_zh_us_rate,ok
12,2026-03-07 16:59:45.215258+00:00,2026-03-07 16:59:45.215261+00:00,1,11,SECURITIES_881157,证券881157,881157,CN,1553.7060,1531.6860,1.44,2026-03-07 16:58:05.995848+00:00,akshare.stock_board_industry_index_ths.fallback_close,ok
