id,created_at,updated_at,instrument,bar_type,priced_at,open_price,high_price,low_price,close_price,last_price,prev_close,annual_cash_dividend_per_10,annual_dividend_per_share,annual_dividend_yield_pct,annual_dividend_report,volume,turnover,source
154,2026-03-08 12:12:36.566649+00:00,2026-03-08 12:12:36.566656+00:00,73,spot,2026-03-08 12:12:36.394411+00:00,,,,,18.9300,18.4700,8.0000,0.8000,4.2300,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
153,2026-03-08 12:12:35.699798+00:00,2026-03-08 12:12:35.699808+00:00,72,spot,2026-03-08 12:12:35.539724+00:00,,,,,15.7700,15.2000,4.1000,0.4100,2.6000,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
152,2026-03-08 12:12:34.401784+00:00,2026-03-08 12:12:34.401796+00:00,71,spot,2026-03-08 12:12:34.211034+00:00,,,,,23.2000,22.7500,13.6216,1.3622,5.8700,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
151,2026-03-08 12:12:33.368652+00:00,2026-03-08 12:12:33.368662+00:00,70,spot,2026-03-08 12:12:33.205378+00:00,,,,,25.3400,24.8000,7.1000,0.7100,2.8000,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
150,2026-03-08 12:12:31.419621+00:00,2026-03-08 12:12:31.419628+00:00,69,spot,2026-03-08 12:12:31.255434+00:00,,,,,11.7200,11.8100,6.9000,0.6900,5.8900,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
149,2026-03-08 12:12:29.283878+00:00,2026-03-08 12:12:29.283891+00:00,68,spot,2026-03-08 12:12:29.083506+00:00,,,,,4.8100,4.7300,1.9000,0.1900,3.9500,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
148,2026-03-08 12:12:27.303598+00:00,2026-03-08 12:12:27.303610+00:00,67,spot,2026-03-08 12:12:27.155158+00:00,,,,,9.9400,9.8800,4.6400,0.4640,4.6700,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
147,2026-03-08 12:12:25.348371+00:00,2026-03-08 12:12:25.348376+00:00,66,spot,2026-03-08 12:12:25.161050+00:00,,,,,6.2500,6.1500,1.8000,0.1800,2.8800,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
146,2026-03-08 12:12:24.291017+00:00,2026-03-08 12:12:24.291029+00:00,65,spot,2026-03-08 12:12:24.084342+00:00,,,,,9.1300,9.0900,4.0000,0.4000,4.3800,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
145,2026-03-08 12:12:21.258710+00:00,2026-03-08 12:12:21.258717+00:00,64,spot,2026-03-08 12:12:21.082136+00:00,,,,,9.6100,9.6700,4.2000,0.4200,4.3700,2024年报,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
