id,created_at,updated_at,symbol,name,market,exchange,instrument_type,trading_currency,lot_size,tick_size,tradable,is_high_dividend,status,data_source,notes
1,2026-03-07 16:18:27.161587+00:00,2026-03-07 16:48:07.421047+00:00,000016,上证50,CN,SSE,指数,CNY,1,,True,False,启用,market-config,INDEX_50
25,2026-03-08 11:48:23.652555+00:00,2026-03-08 11:48:23.652574+00:00,000090,天健集团,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
26,2026-03-08 11:48:23.654786+00:00,2026-03-08 11:48:23.654799+00:00,000157,中联重科,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
2,2026-03-07 16:18:27.162550+00:00,2026-03-07 16:48:07.422563+00:00,000300,沪深300,CN,SSE,指数,CNY,1,,True,False,启用,market-config,INDEX_300
27,2026-03-08 11:48:23.655773+00:00,2026-03-08 11:48:23.655781+00:00,000408,藏格矿业,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
28,2026-03-08 11:48:23.656602+00:00,2026-03-08 11:48:23.656609+00:00,000429,粤高速A,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
29,2026-03-08 11:48:23.657301+00:00,2026-03-08 11:48:23.657307+00:00,000651,格力电器,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
30,2026-03-08 11:48:23.658165+00:00,2026-03-08 11:48:23.658175+00:00,000672,上峰水泥,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
5,2026-03-07 16:18:27.164236+00:00,2026-03-07 16:48:07.424489+00:00,000688,科创50,CN,SSE,指数,CNY,1,,True,False,启用,market-config,STAR_50
3,2026-03-07 16:18:27.163195+00:00,2026-03-07 16:48:07.423320+00:00,000852,中证1000,CN,SSE,指数,CNY,1,,True,False,启用,market-config,INDEX_1000
31,2026-03-08 11:48:23.658906+00:00,2026-03-08 11:48:23.658911+00:00,000895,双汇发展,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
32,2026-03-08 11:48:23.659497+00:00,2026-03-08 11:48:23.659502+00:00,000933,神火股份,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
33,2026-03-08 11:48:23.660265+00:00,2026-03-08 11:48:23.660270+00:00,000983,山西焦煤,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
34,2026-03-08 11:48:23.661432+00:00,2026-03-08 11:48:23.661437+00:00,002043,兔宝宝,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
35,2026-03-08 11:48:23.662037+00:00,2026-03-08 11:48:23.662041+00:00,002154,报喜鸟,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
36,2026-03-08 11:48:23.662628+00:00,2026-03-08 11:48:23.662633+00:00,002233,塔牌集团,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
37,2026-03-08 11:48:23.663210+00:00,2026-03-08 11:48:23.663215+00:00,002267,陕天然气,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
38,2026-03-08 11:48:23.663803+00:00,2026-03-08 11:48:23.663808+00:00,002416,爱施德,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
39,2026-03-08 11:48:23.664395+00:00,2026-03-08 11:48:23.664400+00:00,002540,亚太科技,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
40,2026-03-08 11:48:23.665038+00:00,2026-03-08 11:48:23.665042+00:00,002563,森马服饰,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
41,2026-03-08 11:48:23.665575+00:00,2026-03-08 11:48:23.665579+00:00,002572,索菲亚,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
42,2026-03-08 11:48:23.666109+00:00,2026-03-08 11:48:23.666114+00:00,002601,龙佰集团,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
43,2026-03-08 11:48:23.666615+00:00,2026-03-08 11:48:23.666619+00:00,002737,葵花药业,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
44,2026-03-08 11:48:23.667129+00:00,2026-03-08 11:48:23.667133+00:00,002756,永兴材料,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
45,2026-03-08 11:48:23.667661+00:00,2026-03-08 11:48:23.667666+00:00,002867,周大生,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
15,2026-03-07 16:31:46.421787+00:00,2026-03-07 16:31:46.421796+00:00,159919,沪深300,CN,SZSE,ETF,CNY,1,,True,False,启用,position-init-csv,strategy_tag=manual-main
46,2026-03-08 11:48:23.668187+00:00,2026-03-08 11:48:23.668192+00:00,301109,军信股份,CN,SZSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
4,2026-03-07 16:18:27.163734+00:00,2026-03-07 16:48:07.423953+00:00,399006,创业板指,CN,SZSE,指数,CNY,1,,True,False,启用,market-config,CHINEXT
16,2026-03-07 16:31:46.425586+00:00,2026-03-07 16:31:46.425590+00:00,588000,科创50,CN,SSE,ETF,CNY,1,,True,False,启用,position-init-csv,strategy_tag=manual-main
47,2026-03-08 11:48:23.668696+00:00,2026-03-08 11:48:23.668700+00:00,600012,皖通高速,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
48,2026-03-08 11:48:23.669215+00:00,2026-03-08 11:48:23.669219+00:00,600015,华夏银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
49,2026-03-08 11:48:23.669974+00:00,2026-03-08 11:48:23.669979+00:00,600016,民生银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
50,2026-03-08 11:48:23.670475+00:00,2026-03-08 11:48:23.670479+00:00,600028,中国石化,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
18,2026-03-07 16:31:46.431354+00:00,2026-03-07 16:31:46.431361+00:00,600036,招商银行A,CN,SSE,股票,CNY,1,,True,True,启用,position-init-csv,strategy_tag=manual-main
51,2026-03-08 11:48:23.671421+00:00,2026-03-08 11:48:23.671430+00:00,600039,四川路桥,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
52,2026-03-08 11:48:23.672197+00:00,2026-03-08 11:48:23.672203+00:00,600057,厦门象屿,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
53,2026-03-08 11:48:23.673082+00:00,2026-03-08 11:48:23.673087+00:00,600064,南京高科,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
54,2026-03-08 11:48:23.673593+00:00,2026-03-08 11:48:23.673597+00:00,600096,云天化,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
55,2026-03-08 11:48:23.674097+00:00,2026-03-08 11:48:23.674102+00:00,600123,兰花科创,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
56,2026-03-08 11:48:23.674603+00:00,2026-03-08 11:48:23.674608+00:00,600153,建发股份,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
57,2026-03-08 11:48:23.675107+00:00,2026-03-08 11:48:23.675111+00:00,600177,雅戈尔,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
58,2026-03-08 11:48:23.675601+00:00,2026-03-08 11:48:23.675605+00:00,600188,兖矿能源,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
59,2026-03-08 11:48:23.676182+00:00,2026-03-08 11:48:23.676188+00:00,600256,广汇能源,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
60,2026-03-08 11:48:23.676728+00:00,2026-03-08 11:48:23.676732+00:00,600273,嘉化能源,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
61,2026-03-08 11:48:23.677251+00:00,2026-03-08 11:48:23.677255+00:00,600282,南钢股份,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
62,2026-03-08 11:48:23.677755+00:00,2026-03-08 11:48:23.677760+00:00,600295,鄂尔多斯,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
63,2026-03-08 11:48:23.678252+00:00,2026-03-08 11:48:23.678257+00:00,600348,华阳股份,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
64,2026-03-08 11:48:23.678723+00:00,2026-03-08 11:48:23.678727+00:00,600350,山东高速,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
65,2026-03-08 11:48:23.679348+00:00,2026-03-08 11:48:23.679352+00:00,600373,中文传媒,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
66,2026-03-08 11:48:23.679809+00:00,2026-03-08 11:48:23.679813+00:00,600398,海澜之家,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
67,2026-03-08 11:48:23.680260+00:00,2026-03-08 11:48:23.680264+00:00,600461,洪城环境,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
68,2026-03-08 11:48:23.680853+00:00,2026-03-08 11:48:23.680857+00:00,600502,安徽建工,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
69,2026-03-08 11:48:23.681306+00:00,2026-03-08 11:48:23.681309+00:00,600546,山煤国际,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
70,2026-03-08 11:48:23.682026+00:00,2026-03-08 11:48:23.682030+00:00,600585,海螺水泥,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
71,2026-03-08 11:48:23.682468+00:00,2026-03-08 11:48:23.682472+00:00,600729,重庆百货,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
72,2026-03-08 11:48:23.682892+00:00,2026-03-08 11:48:23.682896+00:00,600737,中粮糖业,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
73,2026-03-08 11:48:23.683343+00:00,2026-03-08 11:48:23.683347+00:00,600741,华域汽车,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
74,2026-03-08 11:48:23.683784+00:00,2026-03-08 11:48:23.683788+00:00,600755,厦门国贸,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
75,2026-03-08 11:48:23.684370+00:00,2026-03-08 11:48:23.684374+00:00,600757,长江传媒,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
76,2026-03-08 11:48:23.684955+00:00,2026-03-08 11:48:23.684959+00:00,600901,江苏金租,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
77,2026-03-08 11:48:23.685411+00:00,2026-03-08 11:48:23.685415+00:00,600919,江苏银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
78,2026-03-08 11:48:23.685869+00:00,2026-03-08 11:48:23.685873+00:00,600938,中国海油,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
79,2026-03-08 11:48:23.686319+00:00,2026-03-08 11:48:23.686323+00:00,600971,恒源煤电,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
80,2026-03-08 11:48:23.686938+00:00,2026-03-08 11:48:23.686945+00:00,600985,淮北矿业,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
81,2026-03-08 11:48:23.687779+00:00,2026-03-08 11:48:23.687784+00:00,600997,开滦股份,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
82,2026-03-08 11:48:23.688289+00:00,2026-03-08 11:48:23.688293+00:00,601000,唐山港,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
83,2026-03-08 11:48:23.688780+00:00,2026-03-08 11:48:23.688785+00:00,601001,晋控煤业,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
84,2026-03-08 11:48:23.689251+00:00,2026-03-08 11:48:23.689256+00:00,601006,大秦铁路,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
85,2026-03-08 11:48:23.689717+00:00,2026-03-08 11:48:23.689722+00:00,601009,南京银行,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
86,2026-03-08 11:48:23.690175+00:00,2026-03-08 11:48:23.690179+00:00,601019,山东出版,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
