id,created_at,updated_at,account,instrument,side,quantity,available_quantity,average_price,cost_basis,market_value,unrealized_pnl,position_ratio,pricing_currency,status,opened_at,closed_at,notes
14,2026-03-07 16:31:46.458980+00:00,2026-03-08 12:11:56.894801+00:00,5,17,做多,2200.00000000,2200.00000000,37.4290,82343.8000,100826.0000,18482.2000,0.25939446,CNY,持有中,2026-03-07 16:34:04.339129+00:00,,"strategy_tag=manual-dividend
中国神华（来自分红账户持仓截图）"
15,2026-03-07 16:31:46.461128+00:00,2026-03-08 12:11:56.894696+00:00,5,23,做多,3800.00000000,3800.00000000,11.0130,41849.4000,60002.0000,18152.6000,0.15436679,CNY,持有中,2026-03-07 16:34:04.342413+00:00,,"strategy_tag=manual-dividend
中远海控（来自分红账户持仓截图）"
16,2026-03-07 16:31:46.464406+00:00,2026-03-08 12:11:56.894586+00:00,5,15,做多,20000.00000000,20000.00000000,4.9160,98320.0000,97300.0000,-1020.0000,0.25032314,CNY,持有中,2026-03-07 16:34:04.346545+00:00,,"strategy_tag=manual-dividend
沪深300（来自分红账户持仓截图）"
13,2026-03-07 16:31:46.455531+00:00,2026-03-08 12:11:56.894458+00:00,5,18,做多,5200.00000000,5200.00000000,35.0680,182353.6000,203840.0000,21486.4000,0.52441797,CNY,持有中,2026-03-07 16:34:04.334460+00:00,,"strategy_tag=manual-dividend
招商银行（来自分红账户持仓截图）"
12,2026-03-07 16:31:46.448991+00:00,2026-03-08 12:11:56.892225+00:00,4,18,做多,500.00000000,500.00000000,18.9550,9477.5000,19600.0000,10122.5000,0.41885613,CNY,持有中,2026-03-07 16:34:04.330265+00:00,,"strategy_tag=manual-sub
招商银行（来自副账户持仓截图）"
5,2026-03-07 16:31:46.427728+00:00,2026-03-08 12:11:56.890689+00:00,3,16,做多,55000.00000000,55000.00000000,1.5370,84535.0000,82005.0000,-2530.0000,0.20934719,CNY,持有中,2026-03-07 16:34:04.305673+00:00,,"strategy_tag=manual-main
科创50（来自持仓截图）"
8,2026-03-07 16:31:46.435648+00:00,2026-03-08 12:11:56.890592+00:00,3,19,做多,1200.00000000,1200.00000000,71.3080,85569.6000,156840.0000,71270.4000,0.40039038,HKD,持有中,2026-03-07 16:34:04.316370+00:00,,"strategy_tag=manual-main
阿里巴巴-W（来自持仓截图）"
9,2026-03-07 16:31:46.439055+00:00,2026-03-08 12:11:56.890499+00:00,3,20,做多,500.00000000,500.00000000,-84.8820,-42441.0000,30900.0000,73341.0000,0.07888334,HKD,持有中,2026-03-07 16:34:04.319373+00:00,,"strategy_tag=manual-main
中芯国际（来自持仓截图，保留负号）"
10,2026-03-07 16:31:46.441673+00:00,2026-03-08 12:11:56.890407+00:00,3,21,做多,500.00000000,500.00000000,-33.2090,-16604.5000,24400.0000,41004.5000,0.06228976,HKD,持有中,2026-03-07 16:34:04.322788+00:00,,"strategy_tag=manual-main
招商银行H（来自持仓截图，保留负号）"
11,2026-03-07 16:31:46.444415+00:00,2026-03-08 12:11:56.890314+00:00,3,22,做多,1000.00000000,1000.00000000,9.2160,9216.0000,15950.0000,6734.0000,0.04071810,HKD,持有中,2026-03-07 16:34:04.325916+00:00,,"strategy_tag=manual-main
中远海控H（来自持仓截图）"
6,2026-03-07 16:31:46.430293+00:00,2026-03-08 12:11:56.890218+00:00,3,17,做多,100.00000000,100.00000000,40.6810,4068.1000,4583.0000,514.9000,0.01169975,CNY,持有中,2026-03-07 16:34:04.309379+00:00,,"strategy_tag=manual-main
中国神华（来自持仓截图）"
4,2026-03-07 16:31:46.424701+00:00,2026-03-08 12:11:56.890115+00:00,3,15,做多,20000.00000000,20000.00000000,4.7210,94420.0000,97300.0000,2880.0000,0.24839317,CNY,持有中,2026-03-07 16:34:04.301812+00:00,,"strategy_tag=manual-main
沪深300（来自持仓截图）"
7,2026-03-07 16:31:46.433127+00:00,2026-03-08 12:11:56.889976+00:00,3,18,做多,100.00000000,100.00000000,39.6990,3969.9000,3920.0000,-49.9000,0.01000721,CNY,持有中,2026-03-07 16:34:04.313630+00:00,,"strategy_tag=manual-main
招商银行A（来自持仓截图）"
